#welted,,The "OG" welted boot,before.jpg
#welted,,The "Scrappy",scrappy_boots2.jpg
#turn,,Low-cut Carolingian,turnshoes_jpg.jpg
#turn,,Carolingian ankle boot,trailshoe.jpg
#turn,,Low-cut derby,turnshoes_liz.jpg
#turn,,Derby  turnboot,turnshoes_cd.jpg
